tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,100,0,300,300,0,0,0,0,50,7052,42407,400,0,2000,0,0,0,0,0,0,0,0
2,100,0,300,300,0,0,0,0,50,1954,73498,400,0,2000,0,0,0,0,0,0,0,0
3,98,2,299,300,2,0,0,0,48,579,107474,400,0,2000,0,0,0,0,0,0,0,0
4,98,2,299,300,2,0,0,0,48,194,139403,400,0,2000,0,0,0,0,0,0,0,0
5,98,2,299,300,2,0,0,0,48,100,171998,400,0,2000,0,0,0,0,0,0,0,0
6,98,2,299,300,2,0,0,0,48,77,204623,400,0,2000,0,0,0,0,0,0,0,0
7,98,2,299,300,2,0,0,0,48,61,236673,400,0,2000,0,0,0,0,0,0,0,0
8,98,2,298,300,4,0,0,0,48,52,273039,400,0,2000,0,0,0,0,0,0,0,0
9,98,2,298,300,4,0,0,0,48,50,308529,400,0,2000,0,0,0,0,0,0,0,0
10,98,2,298,300,4,0,0,0,48,50,343680,400,0,2000,0,0,0,0,0,0,0,0
11,96,4,296,300,8,0,0,0,46,50,378602,400,0,2000,0,0,0,0,0,0,0,0
12,96,4,295,300,10,0,0,0,46,50,412464,400,0,2000,0,0,0,0,0,0,0,0
13,94,6,295,300,10,0,0,0,44,50,442551,400,0,2000,0,0,0,0,0,0,0,0
14,94,6,295,299,10,2,0,0,44,50,477924,400,0,2000,0,0,0,0,0,0,0,0
15,94,6,295,299,10,2,0,0,44,50,511410,400,0,2000,0,0,0,0,0,0,0,0
16,94,6,295,298,10,4,0,0,44,50,544058,400,0,2000,0,0,0,0,0,0,0,0
17,93,7,294,297,12,6,0,0,43,50,578364,400,0,2000,0,0,0,0,0,0,0,0
18,93,7,294,296,12,8,0,0,43,50,611533,400,0,2000,0,0,0,0,0,0,0,0
19,93,7,294,296,12,8,0,0,43,50,644834,400,0,2000,0,0,0,0,0,0,0,0
20,93,7,294,295,12,10,0,0,43,50,677101,400,0,2000,0,0,0,0,0,0,0,0
21,92,8,294,295,12,10,0,0,42,50,709383,400,0,2000,0,0,0,0,0,0,0,0
22,92,8,293,295,14,10,0,0,42,50,744310,400,0,2000,0,0,0,0,0,0,0,0
23,91,9,293,295,14,10,0,0,41,50,780357,400,0,2000,0,0,0,0,0,0,0,0
24,91,9,293,295,14,10,0,0,41,50,813126,400,0,2000,0,0,0,0,0,0,0,0
25,90,10,293,295,14,10,0,0,40,50,847264,400,0,2000,0,0,0,0,0,0,0,0
