tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,99,1,300,300,0,0,0,0,49,7691,42488,400,0,2000,0,0,0,0,0,0,0,0
2,99,1,299,300,2,0,0,0,49,2007,77644,400,0,2000,0,0,0,0,0,0,0,0
3,98,2,298,299,4,2,0,0,48,568,110714,400,0,2000,0,0,0,0,0,0,0,0
4,98,2,298,299,4,2,0,0,48,205,144733,400,0,2000,0,0,0,0,0,0,0,0
5,96,4,298,299,4,2,0,0,46,102,181059,400,0,2000,0,0,0,0,0,0,0,0
6,96,4,298,299,4,2,0,0,46,75,214171,400,0,2000,0,0,0,0,0,0,0,0
7,95,5,298,299,4,2,0,0,45,57,248459,400,0,2000,0,0,0,0,0,0,0,0
8,95,5,298,298,4,4,0,0,45,51,281343,400,0,2000,0,0,0,0,0,0,0,0
9,95,5,298,298,4,4,0,0,45,51,316224,400,0,2000,0,0,0,0,0,0,0,0
10,95,5,298,298,4,4,0,0,45,50,349213,400,0,2000,0,0,0,0,0,0,0,0
11,95,5,298,298,4,4,0,0,45,50,383377,400,0,2000,0,0,0,0,0,0,0,0
12,95,5,298,298,4,4,0,0,45,50,415712,400,0,2000,0,0,0,0,0,0,0,0
13,95,5,297,298,6,4,0,0,45,50,448150,400,0,2000,0,0,0,0,0,0,0,0
14,95,5,296,298,8,4,0,0,45,50,483226,400,0,2000,0,0,0,0,0,0,0,0
15,94,6,296,296,8,8,0,0,44,50,516113,400,0,2000,0,0,0,0,0,0,0,0
16,94,6,295,295,10,10,0,0,44,50,551564,400,0,2000,0,0,0,0,0,0,0,0
17,92,8,294,295,12,10,0,0,42,50,584117,400,0,2000,0,0,0,0,0,0,0,0
18,92,8,293,295,14,10,0,0,42,50,617627,400,0,2000,0,0,0,0,0,0,0,0
19,91,9,293,295,14,10,0,0,41,50,651184,400,0,2000,0,0,0,0,0,0,0,0
20,91,9,293,295,14,10,0,0,41,50,683286,400,0,2000,0,0,0,0,0,0,0,0
21,90,10,293,295,14,10,0,0,40,50,716641,400,0,2000,0,0,0,0,0,0,0,0
22,90,10,293,294,14,12,0,0,40,50,750818,400,0,2000,0,0,0,0,0,0,0,0
23,88,12,291,294,18,12,0,0,38,50,787086,400,0,2000,0,0,0,0,0,0,0,0
24,88,12,291,293,18,14,0,0,38,50,817387,400,0,2000,0,0,0,0,0,0,0,0
25,86,14,291,293,18,14,0,0,36,50,849699,400,0,2000,0,0,0,0,0,0,0,0
26,86,14,291,291,18,18,0,0,36,50,884911,400,0,2000,0,0,0,0,0,0,0,0
27,86,14,291,291,18,18,0,0,36,50,920335,400,0,2000,0,0,0,0,0,0,0,0
28,86,14,290,290,20,20,0,0,36,50,957599,400,0,2000,0,0,0,0,0,0,0,0
29,86,14,289,290,22,20,0,0,36,50,990738,400,0,2000,0,0,0,0,0,0,0,0
30,86,14,289,290,22,20,0,0,36,50,1022921,400,0,2000,0,0,0,0,0,0,0,0
31,86,14,288,290,24,20,0,0,36,50,1056330,400,0,2000,0,0,0,0,0,0,0,0
32,86,14,287,290,26,20,0,0,36,50,1088769,400,0,2000,0,0,0,0,0,0,0,0
33,85,15,287,290,26,20,0,0,35,50,1120355,400,0,2000,0,0,0,0,0,0,0,0
34,85,15,286,290,28,20,0,0,35,50,1152687,400,0,2000,0,0,0,0,0,0,0,0
35,84,16,286,290,28,20,0,0,34,50,1183075,400,0,2000,0,0,0,0,0,0,0,0
36,84,16,286,289,28,22,0,0,34,50,1215371,400,0,2000,0,0,0,0,0,0,0,0
37,82,18,286,287,28,26,0,0,32,50,1249157,400,0,2000,0,0,0,0,0,0,0,0
38,82,18,286,287,28,26,0,0,32,50,1282797,400,0,2000,0,0,0,0,0,0,0,0
39,80,20,286,287,28,26,0,0,30,50,1315821,400,0,2000,0,0,0,0,0,0,0,0
40,80,20,285,286,30,28,0,0,30,50,1347719,400,0,2000,0,0,0,0,0,0,0,0
41,78,22,285,286,30,28,0,0,28,270902,767,400,0,2000,0,0,0,0,0,0,0,0
42,78,22,284,286,32,28,0,0,28,330769,45,400,0,2000,0,0,0,0,0,0,0,0
43,78,22,282,286,36,28,0,0,29,345290,48,400,0,2000,0,0,0,0,0,0,0,0
