tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,100,0,300,300,0,0,0,0,50,7713,44048,400,0,2000,0,0,0,0,0,1,0,0
2,100,0,300,300,0,0,0,0,50,1790,78437,400,0,2000,0,0,0,0,0,1,0,0
3,99,1,300,300,0,0,0,0,49,518,112001,400,0,2000,0,0,0,0,0,2,0,0
4,99,1,300,300,0,0,0,0,49,185,146361,399,1,2000,0,0,0,0,0,3,1,0
5,97,3,300,300,0,0,0,0,47,95,182227,399,1,2000,0,0,0,0,0,3,2,0
6,97,3,300,300,0,0,0,0,47,71,215704,398,2,2000,0,0,0,0,0,3,2,2
7,95,5,300,300,0,0,0,0,45,57,250904,398,2,2000,0,0,0,0,0,4,3,3
8,95,5,300,298,0,4,0,0,45,54,283087,398,2,2000,0,0,0,0,0,4,5,3
9,93,7,300,298,0,4,0,0,43,53,317686,397,3,2000,0,0,0,0,0,4,7,4
10,93,7,300,297,0,6,0,0,43,50,350761,397,3,2000,0,0,0,0,0,5,9,5
11,93,7,300,296,0,8,0,0,43,50,382183,395,5,2000,0,0,0,0,0,5,11,8
12,93,7,300,296,0,8,0,0,43,50,414275,395,5,2000,0,0,0,0,0,4,14,10
13,91,9,300,295,0,10,0,0,41,50,447622,395,5,2000,0,0,0,0,0,5,15,14
14,91,9,299,294,2,12,0,0,41,50,479741,395,5,2000,0,0,0,0,0,6,17,17
15,90,10,299,294,2,12,0,0,40,50,511589,394,6,2000,0,0,0,0,0,6,19,21
16,90,10,298,294,4,12,0,0,40,50,547042,394,6,2000,0,0,0,0,0,6,22,24
17,90,10,297,294,6,12,0,0,40,50,580695,392,8,2000,0,0,0,0,0,6,26,28
18,90,10,297,294,6,12,0,0,40,50,614525,391,9,2000,0,0,0,0,0,7,32,31
19,88,12,296,294,8,12,0,0,38,50,647485,387,13,2000,0,0,0,0,0,8,38,38
20,88,12,295,294,10,12,0,0,38,50,681333,383,17,1998,2,0,2,0,0,9,48,45
21,86,14,295,294,10,12,0,0,36,50,714082,382,18,1998,2,0,2,0,2,8,57,54
22,86,14,295,294,10,12,0,0,36,50,748987,381,19,1997,3,0,5,0,2,8,65,65
23,86,14,295,294,10,12,0,0,36,50,781034,377,23,1996,4,0,8,0,3,8,78,75
24,86,14,294,293,12,14,0,0,36,50,813293,373,27,1996,4,0,11,0,4,6,90,90
25,84,16,293,293,14,14,0,0,34,50,845627,367,33,1996,4,0,12,0,7,5,105,108
26,84,16,293,292,14,16,0,0,34,50,878128,361,39,1995,5,0,14,0,10,6,123,129
27,82,18,291,291,18,18,0,0,32,50,910208,355,45,1994,6,0,18,0,12,6,146,151
28,82,18,291,289,18,22,0,0,32,50,945611,349,51,1992,8,0,20,0,18,7,170,178
29,82,18,291,288,18,24,0,0,32,50,979816,347,53,1992,8,0,23,0,23,6,193,208
30,82,18,290,287,20,26,0,0,32,50,1013789,342,58,1990,10,0,26,0,30,6,222,237
31,80,20,290,287,20,26,0,0,30,50,1044146,332,68,1984,16,0,38,0,34,6,254,273
32,80,20,288,285,24,30,0,0,30,50,1077695,325,75,1982,18,0,47,0,43,6,290,312
33,79,21,288,285,24,30,0,0,29,50,1112701,316,84,1978,22,0,59,0,53,7,333,353
34,79,21,287,285,26,30,0,0,29,266248,405,313,87,1964,36,0,80,0,68,7,378,395
35,79,21,284,285,32,30,0,0,29,328004,40,306,94,1956,44,0,105,0,87,8,428,439
36,79,21,282,285,36,30,0,0,29,349722,46,296,104,1941,59,0,132,0,119,8,484,487
37,79,21,282,284,36,32,0,0,30,86732,34416,290,110,1932,68,0,163,0,156,8,539,542
38,79,21,281,283,38,34,0,0,30,22269,64866,285,115,1918,82,0,209,0,192,9,594,602
39,79,21,280,282,40,36,0,0,30,5944,97152,283,117,1903,97,0,257,0,241,10,658,655
40,79,21,280,282,40,36,0,0,30,1603,127299,273,127,1886,114,0,319,0,293,11,724,716
41,77,23,280,280,40,40,0,0,28,455,159311,274,126,1865,135,0,385,0,362,10,786,780
42,77,23,280,279,40,42,0,0,28,266226,93,266,134,1847,153,0,464,0,436,11,854,846
43,77,23,279,279,42,42,0,0,28,336744,51,259,141,1829,171,0,546,0,525,12,935,906
44,77,23,279,279,42,42,0,0,28,333321,46,252,148,1805,195,0,643,0,623,12,1008,981
45,77,23,278,277,44,46,0,0,28,344863,47,249,151,1778,222,0,748,0,740,12,1077,1063
46,77,23,276,277,48,46,0,0,28,344390,38,235,165,1747,253,0,862,1,875,12,1166,1139
47,77,23,275,277,50,46,0,0,29,362089,46,236,164,1715,285,0,988,3,1024,13,1252,1217
48,77,23,275,277,50,46,0,0,29,359137,48,236,164,1675,325,0,1147,3,1184,13,1338,1295
49,77,23,275,277,50,46,0,0,29,337855,39,234,166,1637,363,0,1330,5,1339,17,1420,1379
50,77,23,273,277,54,46,0,0,29,351631,42,232,168,1599,400,1,1524,10,1512,19,1503,1464
51,77,23,273,277,54,46,0,0,30,83077,35150,222,178,1569,430,1,1721,12,1689,27,1601,1544
52,77,23,272,276,56,48,0,0,30,21643,70264,228,172,1527,472,1,1889,26,1875,36,1701,1616
53,77,23,271,276,58,48,0,0,30,5273,104107,217,183,1493,506,1,2112,28,2103,42,1798,1702
54,77,23,271,276,58,48,0,0,30,1380,138168,216,184,1457,542,1,2327,39,2320,50,1887,1797
55,76,24,271,275,58,50,0,0,29,257432,111,221,179,1418,581,1,2543,56,2526,63,1980,1883
56,76,24,271,275,58,50,0,0,29,317406,44,212,188,1377,622,1,2731,79,2734,84,2078,1973
57,76,24,270,275,60,50,0,0,29,345337,49,211,189,1342,656,2,2707,137,2705,161,2170,2070
58,76,24,270,275,60,50,0,0,29,350089,42,211,189,1292,705,3,2931,152,2930,183,2257,2172
59,76,24,270,275,60,50,0,0,29,357544,38,201,199,1251,746,3,3111,183,3171,206,2354,2274
60,76,24,269,275,62,50,0,0,29,359463,36,210,190,1210,786,4,3373,200,3358,242,2450,2368
61,76,24,269,275,62,50,0,0,30,362996,51,206,194,1169,826,5,3574,241,3588,270,2549,2463
62,76,24,269,274,62,52,0,0,30,87141,34079,206,194,1128,866,6,3357,361,3317,415,2636,2570
63,76,24,268,273,64,54,0,0,31,25970,67310,209,191,1084,910,6,3610,392,3549,442,2729,2668
64,76,24,268,272,64,56,0,0,31,6662,100429,210,190,1059,935,6,3767,443,3718,486,2838,2749
65,76,24,266,272,68,56,0,0,31,1581,131852,205,195,1021,973,6,3881,501,3940,530,2932,2850
66,76,24,266,272,68,56,0,0,31,524,164799,215,185,985,1007,8,4071,547,4099,581,3019,2948
67,76,24,265,272,70,56,0,0,31,185,196552,215,185,955,1037,8,3569,739,3592,788,3116,3036
68,76,24,265,271,70,58,0,0,31,96,229102,216,184,930,1062,8,3802,778,3829,831,3203,3133
69,76,24,265,271,70,58,0,0,31,71,265341,215,185,896,1096,8,3993,832,3971,886,3295,3226
70,76,24,264,270,72,60,0,0,31,57,299380,211,189,874,1114,12,4175,891,4119,947,3397,3313
71,74,26,264,270,72,60,0,0,29,266417,133,201,199,850,1137,13,4284,956,4232,1014,3500,3409
72,74,26,264,268,72,64,0,0,29,335270,47,202,198,814,1173,13,3816,1152,3721,1197,3605,3502
73,74,26,264,268,72,64,0,0,30,81630,30970,193,207,787,1198,15,3985,1217,3976,1226,3705,3609
74,74,26,264,268,72,64,0,0,30,20559,65912,193,207,758,1226,16,4182,1270,4172,1275,3813,3708
75,73,27,264,268,72,64,0,0,29,5349,100333,195,205,739,1241,20,4322,1325,4346,1334,3922,3804
76,73,27,263,268,74,64,0,0,29,255640,106,196,204,712,1268,20,4458,1394,4522,1402,4026,3904
77,73,27,262,267,76,66,0,0,30,71618,31783,187,213,685,1293,22,3827,1631,3795,1661,4136,4007
78,73,27,261,266,78,68,0,0,30,18345,65982,186,214,666,1311,23,4046,1680,4025,1699,4137,4008
79,72,28,261,265,78,70,0,0,29,266285,86,189,211,650,1326,24,4214,1744,4171,1760,4138,4009
80,72,28,261,264,78,72,0,0,29,318595,39,192,208,631,1341,28,4383,1807,4340,1830,4139,4010
81,72,28,260,263,80,74,0,0,30,87981,30911,186,214,616,1354,30,4523,1873,4470,1907,4141,4010
82,72,28,259,263,82,74,0,0,30,22741,63556,186,214,605,1364,31,3861,2102,3949,2120,4143,4010
83,70,30,258,263,84,74,0,0,28,5880,97058,184,216,593,1375,32,4123,2143,4153,2176,4143,4012
84,70,30,258,261,84,78,0,0,28,268207,88,185,215,584,1384,32,4330,2192,4288,2244,4143,4014
85,70,30,256,261,88,78,0,0,28,343133,47,183,217,569,1398,33,4481,2251,4490,2299,4143,4016
86,70,30,255,260,90,80,0,0,28,347262,51,182,218,565,1402,33,4564,2321,4593,2383,4143,4018
87,70,30,255,260,90,80,0,0,28,362945,52,181,219,557,1408,35,3927,2550,3993,2607,4144,4019
88,70,30,255,259,90,82,0,0,28,368005,44,180,220,549,1415,36,4156,2599,4207,2663,4145,4020
89,70,30,255,259,90,82,0,0,29,357725,49,178,222,544,1420,36,4362,2643,4382,2723,4145,4022
90,70,30,255,259,90,82,0,0,29,348468,46,178,222,535,1429,36,4548,2695,4482,2801,4146,4023
91,70,30,255,257,90,86,0,0,29,359566,52,179,221,526,1438,36,4575,2789,4592,2869,4147,4024
92,70,30,255,257,90,86,0,0,29,343443,39,177,223,523,1440,37,3927,3013,3941,3106,4147,4026
93,70,30,254,257,92,86,0,0,29,349613,44,173,227,521,1442,37,4179,3052,4157,3155,4147,4028
94,70,30,254,257,92,86,0,0,29,360470,50,174,226,514,1449,37,4387,3106,4309,3208,4147,4030
95,70,30,254,257,92,86,0,0,30,352801,34,177,223,510,1453,37,4582,3156,4577,3243,4148,4031
96,70,30,252,257,96,86,0,0,30,92618,34519,174,226,504,1458,38,4632,3241,4681,3311,4150,4031
97,69,31,252,257,96,86,0,0,29,23543,65892,173,227,500,1460,40,4049,3444,4066,3527,4151,4032
98,69,31,252,255,96,90,0,0,29,263662,75,175,225,493,1467,40,4313,3466,4301,3569,4152,4033
99,69,31,252,255,96,90,0,0,29,333991,43,177,223,491,1469,40,4436,3533,4471,3628,4153,4034
100,69,31,252,255,96,90,0,0,29,353742,48,180,220,490,1470,40,4603,3590,4595,3699,4155,4034
101,69,31,252,253,96,94,0,0,29,357155,44,178,222,488,1471,41,4666,3653,4746,3764,4156,4035
102,69,31,250,253,100,94,0,0,29,343061,45,179,221,486,1473,41,3949,3899,3988,4012,4156,4037
103,69,31,249,253,102,94,0,0,30,84880,33207,182,218,484,1475,41,4140,3945,4215,4060,4156,4039
104,69,31,248,253,104,94,0,0,30,19091,65671,180,220,480,1479,41,4375,3985,4400,4101,4157,4040
105,69,31,248,252,104,96,0,0,30,5357,98873,181,219,477,1482,41,4508,4050,4457,4174,4158,4041
106,69,31,248,252,104,96,0,0,30,1450,133151,180,220,474,1485,41,4591,4100,4612,4243,4159,4042
