tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,24270,11354,50,0,300,0,0,0,0,0,0,0,0
2,50,0,300,300,0,0,0,0,50,19390,12572,50,0,300,0,0,0,0,0,0,0,0
3,49,1,300,300,0,0,0,0,49,16223,13600,50,0,300,0,0,0,0,0,0,0,0
4,49,1,300,300,0,0,0,0,49,13758,14785,50,0,300,0,0,0,0,0,0,0,0
5,49,1,300,300,0,0,0,0,49,11966,15847,50,0,300,0,0,0,0,0,0,0,0
6,49,1,299,300,2,0,0,0,49,10212,17151,50,0,300,0,0,0,0,0,0,0,0
7,47,3,298,300,4,0,0,0,47,8369,18686,50,0,300,0,0,0,0,0,0,0,0
8,47,3,297,300,6,0,0,0,47,7053,20363,50,0,300,0,0,0,0,0,0,0,0
9,46,4,296,299,8,2,0,0,46,5805,21303,50,0,300,0,0,0,0,0,0,0,0
10,46,4,296,299,8,2,0,0,46,4828,22660,50,0,300,0,0,0,0,0,0,0,0
11,46,4,296,299,8,2,0,0,46,3748,24490,50,0,300,0,0,0,0,0,0,0,0
12,46,4,295,299,10,2,0,0,46,2955,25728,50,0,300,0,0,0,0,0,0,0,0
13,45,5,295,299,10,2,0,0,45,2536,27225,50,0,300,0,0,0,0,0,0,0,0
14,45,5,293,299,14,2,0,0,45,2026,28137,50,0,300,0,0,0,0,0,0,0,0
15,45,5,292,299,16,2,0,0,45,1724,29462,50,0,300,0,0,0,0,0,0,0,0
16,45,5,291,299,18,2,0,0,45,1432,30519,50,0,300,0,0,0,0,0,0,0,0
17,44,6,291,298,18,4,0,0,44,1150,31438,50,0,300,0,0,0,0,0,0,0,0
18,44,6,290,297,20,6,0,0,44,921,32820,50,0,300,0,0,0,0,0,0,0,0
19,44,6,290,297,20,6,0,0,44,757,34188,50,0,300,0,0,0,0,0,0,0,0
