tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,24215,11258,50,0,300,0,0,0,0,0,3,0,0
2,50,0,300,300,0,0,0,0,50,19320,12892,50,0,300,0,0,0,0,0,5,0,0
3,49,1,299,300,2,0,0,0,49,14364,14668,50,0,300,0,0,0,0,0,7,0,0
4,49,1,299,300,2,0,0,0,49,11575,15767,50,0,300,0,0,0,0,0,7,0,0
5,48,2,299,299,2,2,0,0,48,9052,17603,49,1,300,0,0,0,0,0,10,0,1
6,48,2,299,299,2,2,0,0,48,7073,19260,49,1,300,0,0,0,0,0,12,0,2
7,48,2,299,299,2,2,0,0,48,5751,20778,49,1,300,0,0,0,0,0,12,0,3
8,48,2,299,299,2,2,0,0,48,4797,22273,49,1,300,0,0,0,0,0,12,0,4
9,46,4,299,298,2,4,0,0,46,4060,23108,49,1,300,0,0,0,0,0,14,0,5
10,46,4,297,297,6,6,0,0,46,3376,24446,49,1,300,0,0,0,0,0,14,0,6
11,44,6,296,297,8,6,0,0,44,2693,25689,49,1,300,0,0,0,0,0,16,0,7
12,44,6,294,294,12,12,0,0,44,2193,26881,49,1,300,0,0,0,0,0,19,1,7
13,44,6,294,293,12,14,0,0,44,1866,28085,49,1,300,0,0,0,0,0,21,2,7
14,44,6,293,293,14,14,0,0,44,1558,29625,49,1,300,0,0,0,0,0,22,2,8
15,43,7,293,293,14,14,0,0,43,1217,31015,49,1,300,0,0,0,0,0,24,3,8
16,43,7,293,293,14,14,0,0,43,1009,31990,49,1,300,0,0,0,0,0,26,4,8
17,43,7,291,293,18,14,0,0,43,820,33020,49,1,300,0,0,0,0,0,28,4,9
18,43,7,290,293,20,14,0,0,43,708,34277,48,2,300,0,0,0,0,0,31,5,10
19,41,9,289,292,22,16,0,0,41,603,35568,47,3,300,0,0,0,0,0,31,7,11
20,41,9,288,291,24,18,0,0,41,504,37429,46,4,300,0,0,0,0,0,30,8,14
21,39,11,286,290,28,20,0,0,39,403,38977,46,4,300,0,0,0,0,0,33,11,15
22,39,11,286,287,28,26,0,0,39,339,40544,45,5,300,0,0,0,0,0,36,13,18
23,39,11,286,286,28,28,0,0,39,300,41882,45,5,300,0,0,0,0,0,37,16,20
24,39,11,286,284,28,32,0,0,39,258,43485,44,6,300,0,0,0,0,0,37,19,23
25,38,12,286,284,28,32,0,0,38,226,44943,44,6,300,0,0,0,0,0,38,23,25
26,38,12,286,283,28,34,0,0,38,181,46201,44,6,300,0,0,0,0,0,38,27,27
27,36,14,286,282,28,36,0,0,36,151,47460,42,8,300,0,0,0,0,0,39,32,30
28,36,14,281,282,38,36,0,0,36,128,48926,41,9,292,8,0,5,0,3,39,36,35
29,36,14,279,282,42,36,0,0,36,113,50179,40,10,289,10,1,11,0,7,41,39,42
30,36,14,275,282,50,36,0,0,36,97,51374,38,12,289,10,1,15,0,13,42,47,46
31,36,14,274,282,52,36,0,0,36,89,52776,39,11,286,13,1,23,0,18,41,52,52
32,36,14,271,280,58,40,0,0,36,76,54298,39,11,286,13,1,27,0,27,44,58,57
33,35,15,269,280,62,40,0,0,35,66,55941,37,13,283,16,1,34,0,36,44,64,64
34,35,15,268,278,64,44,0,0,35,57,57143,37,13,283,16,1,40,0,46,43,69,72
35,33,17,268,274,64,52,0,0,33,49,58466,37,13,283,16,1,45,0,57,45,75,79
36,33,17,267,273,66,54,0,0,33,42,59642,36,14,283,16,1,50,0,68,45,82,86
37,33,17,267,273,66,54,0,0,33,39,61092,36,14,283,16,1,57,0,77,45,90,92
38,33,17,264,272,72,56,0,0,33,35,62598,37,13,283,16,1,65,0,85,47,95,100
39,32,18,263,271,74,58,0,0,32,34,63560,37,13,283,16,1,72,0,94,47,101,107
40,32,18,263,270,74,60,0,0,32,33,64920,37,13,283,16,1,81,0,101,47,112,109
41,31,19,263,267,74,66,0,0,31,31,66088,35,15,277,22,1,93,0,111,46,120,116
42,31,19,263,266,74,68,0,0,31,29,67593,34,16,268,31,1,109,0,126,47,132,120
43,30,20,263,265,74,70,0,0,30,27,68641,34,16,248,50,2,130,0,155,47,139,129
44,30,20,260,265,80,70,0,0,30,27,70040,33,17,234,63,3,166,0,182,48,146,139
45,28,22,259,261,82,78,0,0,28,3664,60412,32,18,222,75,3,200,0,223,49,155,148
46,28,22,256,259,88,82,0,0,28,7718,50590,31,19,207,89,4,250,0,262,49,168,154
47,26,24,253,255,94,90,0,0,26,11949,46091,31,19,191,103,6,309,0,302,51,175,166
48,26,24,251,253,98,94,0,0,26,14907,39274,31,19,188,105,7,355,1,357,53,185,175
49,25,25,251,251,98,98,0,0,25,17623,33710,29,21,184,105,11,403,1,414,55,193,188
50,25,25,250,249,100,102,0,0,25,21773,29724,30,20,183,103,14,457,2,459,54,202,199
51,24,26,250,248,100,104,0,0,24,23700,27413,26,24,181,104,15,507,2,505,57,217,208
52,24,26,249,247,102,106,0,0,24,23987,25504,26,24,177,103,20,545,7,550,59,231,218
53,24,26,248,247,104,106,0,0,24,25537,21118,26,24,167,112,21,607,6,600,60,248,225
54,24,26,248,246,104,108,0,0,24,26824,18878,27,23,163,112,25,639,9,663,61,260,236
55,22,28,246,245,108,110,0,0,22,26326,16927,28,22,154,117,29,695,10,712,64,269,249
56,22,28,245,245,110,110,0,0,22,26446,15742,29,21,145,121,34,744,12,759,68,277,262
57,22,28,243,245,114,110,0,0,22,26164,15877,29,21,143,122,35,768,18,790,75,283,277
58,22,28,241,244,118,112,0,0,22,27032,15087,28,22,142,121,37,814,20,845,79,292,290
59,22,28,239,244,122,112,0,0,22,28626,13421,28,22,141,122,37,868,22,895,82,303,301
60,22,28,238,243,124,114,0,0,22,28889,11987,26,24,139,122,39,906,27,940,85,312,316
61,22,28,235,242,130,116,0,0,23,29297,12216,25,25,139,122,39,957,29,982,90,327,326
62,22,28,234,241,132,118,0,0,23,26455,11191,24,26,139,118,43,940,45,939,110,338,341
63,22,28,233,241,134,118,0,0,24,27157,10570,24,26,139,118,43,977,49,980,115,352,353
64,22,28,233,239,134,122,0,0,24,28325,10311,24,26,139,118,43,1033,49,1024,119,366,365
65,22,28,232,238,136,124,0,0,24,30809,10055,24,26,137,119,44,1054,53,1078,123,374,383
66,22,28,232,238,135,124,0,0,24,31396,9551,20,30,137,119,44,1096,55,1138,124,394,393
