tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,300,300,0,0,0,0,50,26297,12045,50,0,300,0,0,0,0,0,0,0,0
2,50,0,300,300,0,0,0,0,50,21488,13391,50,0,300,0,0,0,0,0,0,0,0
3,48,2,299,300,2,0,0,0,48,18514,14613,50,0,300,0,0,0,0,0,0,0,0
4,48,2,298,299,4,2,0,0,48,16149,16187,50,0,300,0,0,0,0,0,0,0,0
5,47,3,297,297,6,6,0,0,47,14281,17358,50,0,300,0,0,0,0,0,0,0,0
6,47,3,295,297,10,6,0,0,47,11556,18830,50,0,300,0,0,0,0,0,0,0,0
7,47,3,294,297,12,6,0,0,47,9959,20102,50,0,300,0,0,0,0,0,0,0,0
8,47,3,293,297,14,6,0,0,47,8351,21624,50,0,300,0,0,0,0,0,0,0,0
9,46,4,293,296,14,8,0,0,46,7027,22936,50,0,300,0,0,0,0,0,0,0,0
10,46,4,293,294,14,12,0,0,46,5932,24107,50,0,300,0,0,0,0,0,0,0,0
11,46,4,293,294,14,12,0,0,46,5061,25468,50,0,300,0,0,0,0,0,0,0,0
12,46,4,293,294,14,12,0,0,46,4167,26993,50,0,300,0,0,0,0,0,0,0,0
13,44,6,293,293,14,14,0,0,44,3544,28448,50,0,300,0,0,0,0,0,0,0,0
14,44,6,292,293,16,14,0,0,44,2989,30091,50,0,300,0,0,0,0,0,0,0,0
15,43,7,292,293,16,14,0,0,43,2495,31289,50,0,300,0,0,0,0,0,0,0,0
16,43,7,290,293,20,14,0,0,43,2053,32207,50,0,300,0,0,0,0,0,0,0,0
17,43,7,288,291,24,18,0,0,43,1889,33677,50,0,300,0,0,0,0,0,0,0,0
18,43,7,287,291,26,18,0,0,43,1586,35311,50,0,300,0,0,0,0,0,0,0,0
19,42,8,286,290,28,20,0,0,42,1356,36592,50,0,300,0,0,0,0,0,0,0,0
20,42,8,285,290,30,20,0,0,42,1152,38505,50,0,300,0,0,0,0,0,0,0,0
21,41,9,285,290,30,20,0,0,41,1000,39899,50,0,300,0,0,0,0,0,0,0,0
22,41,9,283,290,34,20,0,0,41,861,41270,50,0,300,0,0,0,0,0,0,0,0
23,40,10,281,289,38,22,0,0,40,715,42809,50,0,300,0,0,0,0,0,0,0,0
