tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,100,0,300,300,0,0,0,0,50,28940,10318,400,0,2000,0,0,0,0,0,0,0,0
2,100,0,300,300,0,0,0,0,50,28409,10738,400,0,2000,0,0,0,0,0,0,0,0
3,100,0,300,300,0,0,0,0,50,27133,11065,400,0,2000,0,0,0,0,0,0,0,0
4,100,0,300,300,0,0,0,0,50,26032,11177,400,0,2000,0,0,0,0,0,0,0,0
5,100,0,300,300,0,0,0,0,50,25208,11353,400,0,2000,0,0,0,0,0,0,0,0
6,100,0,300,300,0,0,0,0,50,24364,11780,400,0,2000,0,0,0,0,0,0,0,0
7,100,0,300,300,0,0,0,0,50,23956,12218,400,0,2000,0,0,0,0,0,0,0,0
8,100,0,300,300,0,0,0,0,50,23060,12359,400,0,2000,0,0,0,0,0,0,0,0
9,100,0,300,300,0,0,0,0,50,22380,12674,400,0,2000,0,0,0,0,0,0,0,0
10,100,0,300,300,0,0,0,0,50,21887,13173,400,0,2000,0,0,0,0,0,0,0,0
11,98,2,300,300,0,0,0,0,48,21285,13246,400,0,2000,0,0,0,0,0,0,0,0
12,98,2,300,300,0,0,0,0,48,20889,13507,400,0,2000,0,0,0,0,0,0,0,0
13,97,3,300,300,0,0,0,0,47,20343,13837,400,0,2000,0,0,0,0,0,0,0,0
14,97,3,300,300,0,0,0,0,47,19628,14196,400,0,2000,0,0,0,0,0,0,0,0
15,95,5,300,300,0,0,0,0,45,19023,14643,400,0,2000,0,0,0,0,0,0,0,0
16,95,5,299,300,2,0,0,0,45,18204,14811,400,0,2000,0,0,0,0,0,0,0,0
17,94,6,299,300,2,0,0,0,44,17370,15045,400,0,2000,0,0,0,0,0,0,0,0
18,94,6,299,300,2,0,0,0,44,16925,15321,400,0,2000,0,0,0,0,0,0,0,0
19,92,8,299,299,2,2,0,0,42,16417,15597,400,0,2000,0,0,0,0,0,0,0,0
20,92,8,299,297,2,6,0,0,42,15720,15797,400,0,2000,0,0,0,0,0,0,0,0
21,92,8,299,297,2,6,0,0,42,15384,16015,400,0,2000,0,0,0,0,0,0,0,0
22,92,8,299,297,2,6,0,0,42,14916,16358,400,0,2000,0,0,0,0,0,0,0,0
23,92,8,299,296,2,8,0,0,42,14243,16699,400,0,2000,0,0,0,0,0,0,0,0
24,92,8,299,296,2,8,0,0,42,13828,17029,400,0,2000,0,0,0,0,0,0,0,0
25,92,8,299,296,2,8,0,0,42,13500,17079,400,0,2000,0,0,0,0,0,0,0,0
26,92,8,299,296,2,8,0,0,42,13103,17417,400,0,2000,0,0,0,0,0,0,0,0
